FIPS13,YearBuilt,TotalUnits
"060014044001003","2003",5
"060014044001003","2001",7
"060014044001004","2002",1
"060014044001006","2004",1
"060014044001006","2015",1
"060014044001007","2004",1
"060014044001007","2015",1
"060014044001007","2000",2
"060014044001008","2001",1
"060014044001008","2003",1
"060014044001008","2010",1
"060014044001009","2004",1
"060014044001011","2000",1
"060014044001012","2004",1
"060014044001015","2001",1
"060014044001015","2002",1
"060014044001015","2003",1
"060014044001015","2007",1
"060014044001015","2006",34
"060014044001024","2000",1
"060014044001025","2000",1
"060014044002000","2002",1
"060014044002000","2007",1
"060014044002000","2009",1
"060014044002000","2017",1
"060014044002000","2000",2
"060014044002000","2008",2
"060014044002001","2002",1
"060014044002001","2006",1
"060014044002001","2000",2
"060014044002002","2000",1
"060014044002003","2003",1
"060014044002011","2005",1
"060014044003000","2000",1
"060014044003000","2002",1
"060014044003000","2005",1
"060014044003000","2011",1
"060014044003000","2014",1
"060014044003000","2001",2
"060014044003000","2003",2
"060014044003000","2004",2
"060014044003000","2006",2
"060014044003000","2007",2
"060014044003000","2016",3
"060014044003000","2008",5
"060014044003002","2009",1
"060014044003003","2003",1
"060014044003003","2009",1
"060014044003004","2001",1
"060014044003006","2005",1
"060014044003010","2006",1
"060014044003010","2013",1
"060014044003010","2014",1
"060014044003010","2015",1
"060014044003010","2011",3
"060014044003012","2009",1
"060014044003017","2002",1
"060014044003017","2008",1
"060014044003017","2004",2
"060014044003017","2006",2
"060014044003017","2007",2
"060014044003017","2000",3
"060014044003017","2001",4
"060014044003017","2003",5
"060014044003019","2000",1
"060014044003019","2007",1
"060014044003019","2008",1
"060014044003019","2011",1
"060014044003019","2014",1
"060014044003019","2016",1
"060014044003019","2017",1
"060014044003019","2010",2
"060014044003019","2001",3
"060014044003019","2009",3
"060014044003019","2002",4
"060014044003019","2004",4
"060014044003019","2015",4
"060014044003019","2003",6
"060014044003019","2005",6
"060014044003019","2006",6
"060014045011006","2000",1
"060014045011007","2016",1
"060014045011008","2001",1
"060014045011008","2003",3
"060014045011018","2004",1
"060014045011018","2006",1
"060014045011018","2007",1
"060014045011018","2017",1
"060014045011018","2000",2
"060014045021000","2005",1
"060014045021000","2007",1
"060014045021000","2008",1
"060014045021000","2014",1
"060014045021000","2006",2
"060014045021001","2002",1
"060014045021001","2008",1
"060014045021001","2009",1
"060014045021002","2004",1
"060014045021002","2008",1
"060014045021002","2011",1
"060014045021002","2014",1
"060014045021002","2000",2
"060014045021004","2000",1
"060014045021004","2002",1
"060014045021004","2008",1
"060014045021004","2004",2
"060014045021005","2000",1
"060014045021005","2002",1
"060014045021005","2003",1
"060014045021005","2008",1
"060014045021005","2016",1
"060014045021006","2016",1
"060014045022003","2002",1
"060014045022003","2008",1
"060014045022003","2010",1
"060014045022003","2017",1
"060014045022005","2002",1
"060014045022005","2003",1
"060014045022005","2007",1
"060014045022005","2014",1
"060014045022005","2004",2
"060014045022005","2016",2
"060014045022007","2005",1
"060014045022007","2001",2
"060014045022007","2002",3
"060014045023000","2005",1
"060014045023000","2017",1
"060014045023001","2000",1
"060014045023003","2008",1
"060014045023003","2017",1
"060014045023003","2001",2
"060014045023003","2002",2
"060014045023006","2002",1
"060014045023006","2006",1
"060014045023006","2007",1
"060014045023006","2009",1
"060014045023006","2004",2
"060014045023006","2015",2
"060014045023006","2000",3
"060014045023006","2003",3
"060014045023006","2005",3
"060014045023007","2005",1
"060014045023011","2000",1
"060014045023013","2000",1
"060014045023013","2003",1
"060014045023013","2005",1
"060014045023013","2010",1
"060014045023013","2011",1
"060014045023014","2011",1
"060014045023015","2000",1
"060014045023015","2008",1
"060014045023015","2003",3
"060014045023016","2014",1
"060014045024000","2000",1
"060014045024000","2003",1
"060014045024000","2001",3
"060014045024001","2000",1
"060014045024001","2008",1
"060014045024001","2009",1
"060014045024001","2002",2
"060014045024001","2001",3
"060014045024003","2001",1
"060014045024003","2002",1
"060014045024006","2000",1
"060014045024006","2008",1
"060014045024006","2017",1
"060014045024009","2007",1
"060014045024010","2003",1
"060014045024011","2004",2
"060014045024015","2008",1
"060014046001000","2003",1
"060014046001000","2004",1
"060014046001000","2002",2
"060014046001002","2000",1
"060014046001003","2005",1
"060014046001003","2013",1
"060014046001004","2000",1
"060014046001006","2006",1
"060014046001007","2003",1
"060014046001007","2009",1
"060014046001007","2010",1
"060014046001008","2008",1
"060014046001010","2002",1
"060014046001010","2001",3
"060014046001011","2003",1
"060014046001011","2017",1
"060014046001016","2005",1
"060014046002000","2011",1
"060014046002000","2008",2
"060014046002000","2010",2
"060014046002000","2000",3
"060014046002001","2001",1
"060014046002001","2006",1
"060014046002001","2008",1
"060014046002005","2005",1
"060014046002005","2001",2
"060014046002006","2000",1
"060014046002006","2004",1
"060014046003002","2002",1
"060014046003003","2000",1
"060014046003003","2003",1
"060014046003008","2006",1
"060014046003008","2008",1
"060014046003008","2015",1
"060014046003010","2006",1
"060014046003010","2011",1
"060014046003015","2000",1
"060014046003015","2004",1
"060014046003015","2016",1
"060014046004000","2003",1
"060014046004002","2000",1
"060014046004002","2005",1
"060014046004002","2009",2
"060014046004010","2001",1
"060014046004010","2003",1
"060014046004010","2005",2
"060014046004011","2003",1
"060014046004011","2007",1
"060014046004011","2006",3
"060014046004011","2005",6
"060014046004011","2004",11
"060014047001002","2000",1
"060014047001002","2003",1
"060014047001002","2008",1
"060014047001002","2001",2
"060014047001004","2008",1
"060014047001006","2009",1
"060014047002002","2008",1
"060014047002004","2001",1
"060014047002006","2004",1
"060014047002006","2014",1
"060014048001000","2004",1
"060014048001002","2015",1
"060014048001003","2014",2
"060014048002006","2007",1
"060014048002006","2005",3
"060014048002007","2016",2
"060014049002002","2007",1
"060014049002003","2008",1
"060014049003015","2008",1
"060014049003015","2006",2
"060014049003017","2011",29
"060014050002006","2015",1
"060014050002006","2016",1
"060014050003007","2009",1
"060014050003010","2001",2
"060014051003008","2016",1
"060014051004000","2003",1
"060014051005005","2000",1
"060014051005005","2005",1
"060014051005005","2017",1
"060014051005005","2004",4
"060014051005007","2008",1
"060014052002007","2007",1
"060014052004005","2001",7
"060014053012003","2001",19
"060014053021011","2007",2
"060014053021014","2008",12
"060014054012012","2007",3
"060014054021011","2007",1
"060014054021015","2003",1
"060014054022004","2006",5
"060014055001000","2015",1
"060014055001007","2005",4
"060014055002001","2004",3
"060014055002002","2006",5
"060014055002005","2010",2
"060014055003002","2004",4
"060014055004003","2007",3
"060014055004003","2003",4
"060014055004004","2000",1
"060014055004013","2006",2
"060014058001003","2003",2
"060014058001004","2001",2
"060014058001005","2006",3
"060014058001006","2017",2
"060014058001007","2006",3
"060014058002003","2011",2
"060014058002004","2004",1
"060014058002004","2003",2
"060014058003006","2003",2
"060014058003012","2014",2
"060014058004000","2009",1
"060014059011021","2007",2
"060014059012004","2016",1
"060014059012004","2017",1
"060014059012004","2008",2
"060014059012008","2011",2
"060014059012026","2004",3
"060014059012031","2004",1
"060014059013001","2006",2
"060014059013009","2006",2
"060014059013021","2004",1
"060014059021007","2008",1
"060014059021023","2001",3
"060014059022004","2017",4
"060014059022014","2004",18
"060014059022015","2014",1
"060014059022027","2002",1
"060014060001088","2003",1
"060014060002008","2004",3
"060014060002020","2004",6
"060014060002021","2007",4
"060014060002026","2009",75
"060014060003004","2000",40
"060014060003009","2006",1
"060014060003009","2005",4
"060014061003008","2017",12
"060014061003009","2016",0
"060014061003009","2003",8
"060014061003013","2008",4
"060014061003015","2005",6
"060014061003015","2006",6
"060014061003018","2008",1
"060014061003019","2017",63
"060014061003023","2002",27
"060014061003023","2016",41
"060014061003023","2004",100
"060014061003023","2005",200
"060014061003024","2005",405
"060014061004029","2004",1
"060014061004033","2008",4
"060014062011000","2003",6
"060014062011006","2004",1
"060014062012001","2007",2
"060014062013005","2002",2
"060014062013005","2007",6
"060014062021003","2007",4
"060014062022000","2007",1
"060014062022001","2003",4
"060014062023010","2009",4
"060014063002001","2008",4
"060014063002001","2010",4
"060014063002001","2009",9
"060014063002003","2007",3
"060014063003001","2004",6
"060014063003001","2006",8
"060014063003002","2000",2
"060014063003002","2006",2
"060014063004000","2011",1
"060014063004001","2000",1
"060014063004003","2001",1
"060014063004003","2006",2
"060014063004003","2010",4
"060014063004004","2005",1
"060014063004005","2004",2
"060014064002014","2001",1
"060014065001004","2002",1
"060014065001006","2009",3
"060014065001009","2006",1
"060014065002001","2000",3
"060014065002006","2004",3
"060014065003010","2005",1
"060014065004002","2004",4
"060014065004003","2007",2
"060014065004004","2006",1
"060014065004004","2007",1
"060014065004006","2003",30
"060014066011007","2004",2
"060014066012001","2004",2
"060014066012001","2013",2
"060014066012001","2009",3
"060014066012002","2009",2
"060014066012006","2004",3
"060014066013006","2009",2
"060014066013008","2001",4
"060014066021024","2007",1
"060014066022002","2004",3
"060014066022005","2011",3
"060014067001003","2001",1
"060014067001003","2003",1
"060014067001003","2007",2
"060014067001007","2001",1
"060014067001007","2002",1
"060014067001008","2005",1
"060014067001008","2007",1
"060014067001009","2001",1
"060014067001009","2003",1
"060014067003001","2007",4
"060014067003003","2006",1
"060014067003004","2010",1
"060014067004004","2016",2
"060014068001001","2000",1
"060014068001001","2002",1
"060014068001001","2004",1
"060014068001001","2005",1
"060014068001001","2008",1
"060014068001001","2001",2
"060014068001002","2003",1
"060014068002001","2007",1
"060014068002003","2007",1
"060014068002010","2006",1
"060014068003002","2011",1
"060014068003010","2008",4
"060014068004000","2012",1
"060014069002000","2000",1
"060014069002000","2004",3
"060014069002000","2005",3
"060014069002000","2012",4
"060014069003001","2004",1
"060014069003002","2005",15
"060014069003003","2008",12
"060014070001009","2004",1
"060014070002004","2011",2
"060014070002006","2007",1
"060014070003002","2003",1
"060014070003004","2009",2
"060014070003004","2015",6
"060014070003005","2007",3
"060014070003006","2006",2
"060014070003006","2004",6
"060014070004001","2008",2
"060014070004004","2007",1
"060014070005000","2017",1
"060014070005004","2008",2
"060014070005005","2008",2
"060014071011003","2004",2
"060014071012000","2010",3
"060014071012001","2005",2
"060014071012001","2013",2
"060014071012004","2007",2
"060014071021000","2005",1
"060014072001005","2009",2
"060014072001006","2006",1
"060014072001008","2017",2
"060014072001016","2002",2
"060014072001017","2016",1
"060014072003005","2005",2
"060014072003013","2006",5
"060014072004002","2000",1
"060014072004006","2005",2
"060014072004013","2005",1
"060014073001006","2006",4
"060014073001007","2003",2
"060014073001010","2003",1
"060014073002052","2017",2
"060014074001015","2013",2
"060014075001009","2005",1
"060014075001009","2007",2
"060014075001011","2015",4
"060014075002000","2005",1
"060014075002001","2000",1
"060014075002001","2004",1
"060014075002002","2005",1
"060014076002001","2008",2
"060014076004000","2004",3
"060014076005003","2013",1
"060014076005007","2004",1
"060014076005008","2016",1
"060014077001026","2005",1
"060014078002004","2005",1
"060014078002005","2005",1
"060014078002013","2016",2
"060014078002017","2008",1
"060014078003005","2002",1
"060014079001001","2008",0
"060014079001001","2005",2
"060014079001006","2000",1
"060014079001006","2003",1
"060014079001009","2001",1
"060014079001009","2007",1
"060014079001009","2008",1
"060014079001013","2008",1
"060014079002006","2010",2
"060014079002006","2003",8
"060014079003008","2002",4
"060014079003017","2006",1
"060014080001005","2010",1
"060014080001005","2003",2
"060014080001009","2002",1
"060014080001009","2006",1
"060014080001009","2017",1
"060014080001010","2002",1
"060014080001010","2004",1
"060014080001010","2010",1
"060014080001010","2001",2
"060014080001010","2005",3
"060014080001010","2003",4
"060014080002006","2000",1
"060014080002006","2006",1
"060014080002006","2008",1
"060014080002006","2001",2
"060014080002006","2011",5
"060014080002006","2004",6
"060014080002006","2002",9
"060014080002006","2003",11
"060014080002011","2002",1
"060014080002011","2005",1
"060014080002011","2010",1
"060014080002011","2014",1
"060014080002011","2004",3
"060014080002011","2003",4
"060014080002015","2004",1
"060014080002015","2013",1
"060014080002015","2015",1
"060014080002015","2002",2
"060014080002015","2003",2
"060014081001001","2002",1
"060014081001002","2003",1
"060014081001003","2017",1
"060014081001005","2000",1
"060014081001005","2001",1
"060014081001005","2002",1
"060014081001005","2011",1
"060014081001006","2006",1
"060014081001016","2012",1
"060014081001022","2001",1
"060014081002000","2000",0
"060014081002000","2002",1
"060014081002000","2004",1
"060014081002000","2006",1
"060014081002000","2015",1
"060014081002000","2003",2
"060014081002000","2008",2
"060014081002000","2016",2
"060014081002000","2017",2
"060014081002000","2005",3
"060014081002000","2007",5
"060014081002016","2002",1
"060014081002016","2017",1
"060014081002016","2005",2
"060014081002016","2014",13
"060014081002016","2016",15
"060014081002016","2015",18
"060014081002016","2012",20
"060014081002016","2013",20
"060014081002016","2008",26
"060014081002016","2011",28
"060014081002016","2010",32
"060014081002016","2009",33
"060014081002016","2006",33
"060014081002016","2007",51
"060014081002020","2005",2
"060014081002020","2007",2
"060014081002020","2006",61
"060014081002021","2004",1
"060014081002021","2005",1
"060014081002027","2002",1
"060014081002027","2006",1
"060014081002035","2007",5
"060014081002035","2008",5
"060014081003000","2000",2
"060014081003000","2005",2
"060014081003000","2003",3
"060014081003000","2002",5
"060014081003000","2004",8
"060014081003002","2000",1
"060014081003002","2005",1
"060014081004002","2000",1
"060014081004002","2003",1
"060014081004002","2009",1
"060014081004004","2002",1
"060014081004004","2006",1
"060014081004004","2009",1
"060014081004005","2001",1
"060014081004005","2002",1
"060014081004005","2003",1
"060014082001001","2016",1
"060014082001005","2008",1
"060014082001005","2006",2
"060014082001005","2007",2
"060014082001005","2004",3
"060014082001010","2005",1
"060014082001010","2008",1
"060014082001010","2009",1
"060014082001010","2004",2
"060014082001012","2008",1
"060014082002001","2002",1
"060014082002001","2011",1
"060014082002004","2006",3
"060014082002010","2004",4
"060014083001010","2003",1
"060014083002003","2005",1
"060014083002003","2017",1
"060014083002015","2011",1
"060014083003002","2012",1
"060014083003004","2009",1
"060014083003009","2003",1
"060014083003009","2013",1
"060014083003010","2006",1
"060014083003011","2000",1
"060014083003011","2001",1
"060014083003011","2009",1
"060014083004002","2008",1
"060014083005001","2002",1
"060014083005001","2010",2
"060014083005002","2007",1
"060014083005007","2011",1
"060014084001006","2004",1
"060014084001007","2003",1
"060014084002009","2004",2
"060014084002010","2007",2
"060014085001003","2006",1
"060014085001003","2009",9
"060014085002007","2008",2
"060014085003003","2001",3
"060014085004003","2003",1
"060014085005004","2003",1
"060014085005005","2002",1
"060014086001000","2004",6
"060014086002008","2004",1
"060014086003006","2006",1
"060014086004001","2006",1
"060014086004003","2002",1
"060014086004004","2003",1
"060014087001004","2015",5
"060014087003008","2007",1
"060014087004000","2008",4
"060014087004001","2002",1
"060014087004003","2003",1
"060014087005002","2003",1
"060014087005005","2005",1
"060014087006012","2000",2
"060014087006014","2001",2
"060014087006014","2008",4
"060014087006019","2007",2
"060014088001010","2008",2
"060014088001011","2008",1
"060014088001013","2005",1
"060014088001013","2007",1
"060014088001014","2008",1
"060014088001016","2005",1
"060014089001004","2014",1
"060014089001004","2002",2
"060014089001008","2006",1
"060014089002026","2006",2
"060014089002027","2004",1
"060014089002027","2013",1
"060014090001008","2017",1
"060014090001011","2004",2
